phone,name,product,category,city,wa_me_link
919555666777,Vikram Singh,Bru Premix for Café,Bru Premix,Jaipur,https://wa.me/919555666777
918765432109,Neha Gupta,Portable Vending Machine for Events,Vending Machines,Lucknow,https://wa.me/918765432109
919444333222,Meera Krishnan,Vending Machine with Multiple Premix Options,Vending Machines,Chennai,https://wa.me/919444333222
919876543210,Rajesh Kumar,Automatic Tea Coffee Vending Machine for Office,Vending Machines,Bangalore,https://wa.me/919876543210
919123456789,Priya Sharma,Organic Jaggery Powder Bulk Order,Jaggery Products,Pune,https://wa.me/919123456789
919222111000,Ananya Reddy,Coffee Machine for Co-working Space,Vending Machines,Hyderabad,https://wa.me/919222111000
919000999888,Kavitha Nair,Organic Jaggery for Ayurvedic Products,Jaggery Products,Kochi,https://wa.me/919000999888
918899776655,Suresh Agarwal,Bulk Tea Premix for Canteen,Tea/Coffee Premix,Mumbai,https://wa.me/918899776655
919988776655,Amit Patel,Coffee Premix for Hotel Chain,Tea/Coffee Premix,Ahmedabad,https://wa.me/919988776655
919333222111,Deepak Joshi,Jaggery Blocks for Export,Jaggery Products,Kolkata,https://wa.me/919333222111
919765432100,Sunita Devi,Premix Supply for Housing Society,Society Premix,Mumbai,https://wa.me/919765432100
919111000999,Rohan Mehta,Nescafe Premix 1kg Packs,Nescafe Premix,Delhi,https://wa.me/919111000999
